;
;	CNES/DLA/SDT/SPC
;	16/03/2017
;	µ-propu A8-3
;
A8-3 15 70 3 0.005 0.015 E
0.01    0.23
0.02    0.68
0.03    1.13
0.04    1.58
0.05    2.03
0.06    2.48
0.07    2.93
0.08    3.38
0.09    3.83
0.11    4.73
0.12    5.18
0.13    5.63
0.14    6.08
0.15    6.53
0.16    6.98
0.17    7.43
0.18    7.88
0.19    8.33
0.2    8.78
0.21    8.78
0.22    8.33
0.23    7.88
0.24    7.43
0.25    6.98
0.26    6.53
0.27    6.08
0.28    5.63
0.29    5.18
0.3    4.73
0.31	4.48
0.32	4.43
0.33    4.38
0.34    4.33
0.35    4.28
0.36    4.23
0.37    4.18
0.38    4.13
0.39    4.08
0.4    4.03
0.41    4.00
0.42    4.00
0.43    4.00
0.44    4.00
0.45    4.00
0.46    4.00
0.47    4.00
0.48    4.00
0.49    4.00
0.5	4.00
0.51   3.90
0.52    3.70
0.53    3.50
0.54    3.30
0.55    3.10
0.56    2.70
0.57    2.10
0.58    1.50
0.59    0.90
0.60    0.30
0.61    0.00
